##,World,CountryCode,Population,Columns,CountrySize,LatestCount,Position,Date of Day 1,Note,Lockdown Date (Start),Lockdown Date (End),Lockdown Level,Note,Lockdown Date (Start),Lockdown Date (End),Lockdown Level,Note,Lockdown Date (Start),Lockdown Date (End),Lockdown Level,Note,Lockdown Date (Start),Lockdown Date (End),Lockdown Level,Note
133,Pakistan,PAK,"220,892,340",EP,D,"22,550",146,17/3/2020,,24/3/2020,9/5/2020,National,,,,,,,,,,,,,
134,Panama,PAN,"4,314,767",ER,A,"7,523",148,19/3/2020,,25/3/2020,7/4/2020,National,,,,,,,,,,,,,
135,Papua New Guinea,PNG,"8,947,024",ES,C,8,149,#REF!,,24/3/2020,,National,,,,,,,,,,,,,
136,Paraguay,PRY,"7,132,538",ET,C,431,150,5/4/2020,,15/3/2020,,National,,,,,,,,,,,,,
137,Peru,PER,"32,971,854",EU,B,"51,189",151,18/3/2020,,16/3/2020,26/4/2020,National,,,,,,,,,,,,,
138,Philippines,PHL,"109,581,078",EV,D,"9,684",152,15/3/2020,,27/3/2020,15/5/2020,Localized,Cebu,19/5/2020,15/5/2020,Localized,Davao Region,15/3/2020,15/5/2020,Localized,Luzon,22/3/2020,,Localized,Soccsksargen
139,Poland,POL,"37,846,611",EW,B,"14,431",153,15/3/2020,,13/3/2020,11/4/2020,National,,,,,,,,,,,,,
140,Portugal,PRT,"10,196,709",EX,C,"25,702",154,14/3/2020,,19/3/2020,2/4/2020,National,,,,,,,,,,,,,
141,Puerto Rico,PRI,"2,860,853",EY,A,"1,924",155,30/3/2020,,13/3/2020,,National,,,,,,,,,,,,,
142,Qatar,QAT,"2,881,053",EZ,A,"17,142",156,12/3/2020,,11/3/2020,,Localized,Doha Industrial Area,,,,,,,,,,,,
143,Romania,ROU,"19,237,691",FA,B,"13,837",157,15/3/2020,,25/3/2020,12/5/2020,National,,,,,,,,,,,,,
144,Russia,RUS,"145,934,462",FB,D,"155,370",158,18/3/2020,,30/3/2020,1/5/2020,Localized,Moscow,,,,,,,,,,,,
145,Rwanda,RWA,"12,952,218",FC,C,261,159,5/4/2020,,16/3/2020,,National,,,,,,,,,,,,,
146,Saint Lucia,,"183,627",FE,A,18,161,#REF!,,20/3/2020,,National,,,,,,,,,,,,,
147,San Marino,SMR,"33,931",FG,A,589,163,17/3/2020,,1/3/2020,,National,Immediate lockdown,,,,,,,,,,,,
148,Saudi Arabia,SAU,"34,813,871",FI,B,"30,251",165,16/3/2020,,29/3/2020,,Localized,Mecca,26/3/2020,,Localized,Medina,26/3/2020,,Localized,Qatif,26/3/2020,,Localized,Riyadh
149,Senegal,,"16,743,927",FJ,C,"1,329",166,27/3/2020,,24/3/2020,,National,Partial,,,,,,,,,,,,
150,Serbia,SRB,"8,737,371",FK,C,"9,677",167,20/3/2020,,15/3/2020,,National,,,,,,,,,,,,,
151,Seychelles,SYC,"98,347",FL,A,12,168,#REF!,,,,Null,No lockdown,,,,,,,,,,,,
152,Sierra Leone,SLE,"7,976,983",FM,C,199,169,#REF!,,,,Null,No lockdown,,,,,,,,,,,,
153,Singapore,SGP,"5,850,342",FN,C,"19,410",170,1/3/2020,,7/4/2020,1/6/2020,National,,,,,,,,,,,,,
154,Slovakia,,"5,459,642",FP,A,"1,421",172,19/3/2020,,16/3/2020,22/4/2020,National,,,,,,,,,,,,,
155,Slovenia,SVN,"2,078,938",FQ,A,"1,445",173,14/3/2020,,20/3/2020,,National,,,,,,,,,,,,,
156,Somalia,,"15,893,222",FR,C,835,174,#REF!,,19/3/2020,,National,,,,,,,,,,,,,
157,South Africa,ZAF,"59,308,690",FS,D,"7,572",175,19/3/2020,,26/3/2020,30/4/2020,National,,,,,,,,,,,,,
158,South Korea,KOR,"51,269,185",FT,B,"10,806",176,21/2/2020,,,,Null,No lockdown,,,,,,,,,,,,
159,South Sudan,SSD,"11,193,725",FU,C,52,177,#REF!,,23/3/2020,,National,"Partial, may be indefinite",,,,,,,,,,,,
160,Spain,ESP,"46,754,778",FV,B,"226,365",178,3/3/2020,,25/5/2020,,National,,,,,,,,,,,,,
161,Sri Lanka,LKA,"21,413,249",FW,B,771,179,25/3/2020,,21/3/2020,,National,,,,,,,,,,,,,
162,Sudan,SDN,"43,849,260",FX,B,778,180,#REF!,,,,Null,No lockdown,,,,,,,,,,,,
163,Suriname,,"586,632",FY,A,10,181,#REF!,,,,Null,No lockdown,,,,,,,,,,,,
164,Sweden,SWE,"10,099,265",GA,C,"23,216",183,7/3/2020,,,,Null,No lockdown,,,,,,,,,,,,
165,Switzerland,CHE,"8,654,622",GB,C,"29,926",184,7/3/2020,,17/4/2020,,National,,,,,,,,,,,,,
166,Syria,SYR,"17,500,658",GC,C,44,185,#REF!,,14/3/2020,,National,,,,,,,,,,,,,
167,Taiwan,TWN,"23,816,775",GD,B,438,186,19/3/2020,,2/2/2020,,National,,,,,,,,,,,,,
168,Tanzania,TZA,"59,734,218",GE,D,480,187,#REF!,,,,Null,No lockdown,,,,,,,,,,,,
169,Thailand,THA,"69,799,978",GF,D,"2,988",188,16/3/2020,,25/3/2020,30/4/2020,National,,,,,,,,,,,,,
170,Togo,,"8,278,724",GH,C,128,190,#REF!,,20/3/2020,,National,,,,,,,,,,,,,
171,Trinidad and Tobago,TTO,"1,399,488",GI,A,116,191,5/4/2020,,13/3/2020,,National,,,,,,,,,,,,,
172,Tunisia,TUN,"11,818,619",GJ,C,"1,022",192,25/3/2020,,20/3/2020,,National,,,,,,,,,,,,,
173,Turkey,TUR,"84,339,067",GK,D,"129,491",193,19/3/2020,,11/3/2020,13/3/2020,National,1st lockdown,23/3/2020,27/3/2020,National,2nd lockdown,,,,,,,,
174,Uganda,UGA,"45,741,007",GM,B,98,195,#REF!,,18/3/2020,,National,,,,,,,,,,,,,
175,Ukraine,UKR,"43,733,762",GN,B,"12,697",196,26/3/2020,,17/3/2020,24/4/2020,National,,,,,,,,,,,,,
176,United Arab Emirates,ARE,"9,890,402",GO,C,"15,192",197,18/3/2020,,26/3/2020,17/4/2020,National,,,,,,,,,,,,,
177,United Kingdom,GBR,"67,886,011",GP,D,"194,990",198,6/3/2020,,23/3/2020,,National,,,,,,,,,,,,,
178,United States,USA,"331,002,651",GQ,D,"1,204,475",199,3/3/2020,,19/3/2020,30/4/2020,Localized,Varied - Starts from 19-24 Mar 2020,,,,,,,,,,,,
179,Uruguay,URY,"3,473,730",GS,A,740,201,21/3/2020,,16/3/2020,13/4/2020,National,,,,,,,,,,,,,
180,Uzbekistan,UZB,"33,469,203",GT,B,"2,207",202,28/3/2020,,24/3/2020,,Localized,Tashkent,27/3/2020,,Localized,"Samarkand, Namangan, Andijan",,,,,,,,
181,Venezuela,VEN,"28,435,940",GV,B,367,204,26/3/2020,,16/3/2020,,National,,,,,,,,,,,,,
182,Vietnam,VNM,"97,338,579",GW,D,279,205,23/3/2020,,19/3/2020,,National,,,,,,,,,,,,,
183,Zambia,ZMB,"18,383,955",GX,C,139,206,#REF!,,,,Null,No lockdown,,,,,,,,,,,,
184,Zimbabwe,ZWE,"14,862,924",GY,C,34,207,#REF!,,27/3/2020,,National,,,,,,,,,,,,,
